iter	Passed	Remaining
0	31	15692
1	217	5412222	298	4940133	385	4784244	492	4880055	612	504666	604	42570
77	714	43934888	991	54075
9	1013	49610	967	42988
11	1055	42934
12	1111	41634
11313	1305	45314	1302	42113
15	15	1542	46666
16	1692	48093
17	1755	46995
18	1783	45144
19	2020	48498
20	2105	48028
21	2192	47632
22	2364	49037
23	2378	47164
24	2391	45425	25	2515	45857
26	2647	46385
27	2746	46292
28	2888	46916
29	3039	47624
30	3056	46241
31	3136	45876
32	3165	44799
33	3298	45214
34	3355	44581
35	3386	43633636	3580	44799
37	3683	44782
38	3740	44209
39	3862	44417
40	4000	44780
41	4135	45092
42	4186	44490
443	4220	4373844	4283	43306
445	4422	43646446	4501	43384447	4611	43426448	4714	43388449	4833	43499550	4875	42919551	5058	43578
52	5175	43651
53	5237	43258
54	5410	43775
55	5477	43430
56	5559	43206
57	5633	42934
58	5703	42627
59	5787	42444
60	5851	42111
61	6133	43331
62	6326	43887
63	6424	43767
64	6480	43367
65	6551	43081
66	6595	42626
67	6652	42264
68	6695	41825
69	6759	41523
70	6805	41122
71	6867	40822
72	6911	40425
73	6972	40137
74	7020	39780
75	7069	39439
76	7126	3977	777	7243	3978	778	7290	3879	779	7353	38608
80	7398	38269881	7448	37971
82	7493	3783	883	7550	3784	784	7601	3785	885	7660	3686	786	7714	3687	887	7806	36548
88	7850	36255
89	7895	35968
90	7957	35765
91	7990	35436
92	8043	35202993	8086	34926
94	8135	34683995	8186	34453
96	8218	34146997	8257	33874998	8301	3399	999	8359	331001100	8408	332161101	8466	330351102	8506	327881103	8553	325701104	8606	323751105	8660	321901106	8705	319731107	8763	318061108	8812	316111109	8857	314031110	8899	311861111	8955	310231112	9001	308281113	9065	306961114	9115	305181115	9157	303151116	9200	301161117	9242	29921118	9266	29668
119	9308	29477
120	9354	29301
121	9400	29125
122	9443	28944
123	9493	28787
124	9542	28627
125	9591	284126126	9634	282127127	9678	281128128	9726	279129129	9777	27828
130	9836	27708
131	9884	27557
132	9925	27387
133	9972	27237
134	10015	27079
135	10055	26912
136	10117	26807
137	10170	26680
138	10225	26556
139	10269	26407
140	10317	26268
141	10367	26138
142	10429	26037
143	10470	25884
144	10505145	103145	10553146	104146	10597147	104147	10644148	105148	10688149	105149	10741150	106150	10790151	106151	10835152	107152	10888153	107153	10961	24626
154	11007155	108155	11053156	109156	11101157	109157	11153158	110158	11203	24027
159	11249	23904
160	11298	23789
161	11358	23698
162	11409	23589
163	11461	23481
164	11500	23348
165	11546166	114166	11609	23149
167	11647168	115168	11680169	115169	11722170	116170	11769171	116171	11817172	117172	11868173	117173	11931	22353
174	11976	22241
175	12017	22123
176	12076	22038
177	12119	21924
178	12173	21829
179	12213	21712
180	12262	21612
181	12308	21505
182	12368	21424
183	12414	21320
184	12465	21224
185	12513	21125
186	12558	21021
187	12611	20930
188	12654	20822
189	12703190	125190	12747191	126191	12796	20527
192	12842	20427
193	12889	20331
194	12940	20241
195	12999	20162
196	13037	20052
197	13088	19962
198	13125	19853
199	13169200	130200	13227201	131201	13266202	131202	13318203	132203	13360204	132204	13412205	132205	13507	19277
206	13553	19184
207	13598	19090
208	13639	18991
209	13688	18902
210	13740	18819
211	13801	18748
212	13848	18659
213	13902	18579
214	13951	18494
215	14001	18409
216	14044	18316
217	14088	18224
218	14141	18145
219	14187	18056
220	14227	17961
221	14281	17884
222	14332	17802
223	14379	17717
224	14435	17643
225	14473	17547
226	14525	17469
227	14569	17380
228	14618	17299
229	14674	17227
230	14720	17141
231	14770	17062
232	14812	16974
233	14851234	147234	14921235	148235	14970236	148236	15039237	149237	15090238	149238	15130239	150239	15172240	150240	15210241	150241	15246242	151242	15283243	151243	15323244	152244	15350245	152245	15381246	152246	15410247	153247	15436248	153248	15464249	15366	15366
250	15393	15270
251	15424	15179
252	15455	15089
253	15484	14997
254	15518	14910
255	15546	14817
256	15576	14728
257	15604	14636
258	15634	14547
259	15654	14450
260	15680	14359
261	15710	14271
262	15740	14183
263	15764	14092
264	15792	14005
265	15821	13918
266	15850	13831
267	15875	13743
268	15902	13655
269	15934	13573
270	15961	13487
271	15989	13402
272	16019	13320
273	16052	13240
274	16080	13156
275	16107	13072
276	16138	12992
277	16161	12906
278	16189	12823
279	16213	12739
280	16239	12656
281	16267	12575
282	16298	12497
283	16324	12415
284	16353	12337
285	16380	12256
286	16408	12177
287	16436	12099
288	16463	12020
289	16490	11941
290	16515	11861
291	16547	11787
292	16574	11709
293	16606	11635
294	16631	11557
295	16659	11481
296	16682	11402
297	16715	11330
298	16743	11255
299	16768	11178
300	16797	11105
301	16824	11030
302	16854	10958
303	16886	10887
304	16917	10815
305	16947	10744
306	16979	10674
307	17010	10603
308	17036	10530
309	17063	10458
310	17089	10385
311	17118	10315
312	17143	10242
313	17171	10171
314	17203	10103
315	17233	10034
316	17262	9965
317	17289	9895
318	17320	9827
319	17350	9759
320	17380	9691
321	17407	9622
322	17437	9555
323	17467	9488
324	17493	9419
325	17520	9351
326	17550	9285
327	17579	9218
328	17608	9151
329	17636	9085
330	17665	9019
331	17694	8953
332	17723	8888
333	17754	8824
334	17780	8757
335	17805	8690
336	17839	8628
337	17865	8562
338	17894	8498
339	17921	8433
340	17949	8369
341	17982	8307
342	18011	8244
343	18040	8181
344	18075	8120
345	18102	8057
346	18129	7993
347	18154	7929
348	18186	7868
349	18218	7808
350	18247	7746
351	18274	7683
352	18303	7622
353	18332	7560
354	18358	7498
355	18386	7437
356	18417	7377
357	18440	7314
358	18469	7254
359	18500	7194
360	18530	7134
361	18556	7073
362	18583	7013
363	18613	6954
364	18637	6893
365	18667	6834
366	18699	6776
367	18725	6716
368	18754	6658
369	18779	6598
370	18808	6539
371	18836	6481
372	18858	6421
373	18889	6363
374	18918	6306
375	18945	6247
376	18972	6189
377	18999	6132
378	19030	6075
379	19057	6018
380	19083	5960
381	19114	5904
382	19141	5847
383	19172	5791
384	19199	5734
385	19231	5679
386	19255	5622
387	19284	5566
388	19311	5510
389	19340	5455
390	19367	5399
391	19397	5344
392	19429	5290
393	19458	5235
394	19486	5180
395	19515	5125
396	19544	5070
397	19576	5017
398	19605	4962
399	19636	4909
400	19662	4854
401	19687	4799
402	19718	4746
403	19745	4691
404	19773	4638
405	19803	4585
406	19828	4530
407	19858	4477
408	19881	4423
409	19911	4370
410	19936	4317
411	19969	4265
412	19999	4212
413	20027	4160
414	20054	4107
415	20083	4055
416	20112	4003
417	20141	3951
418	20169	3899
419	20193	3846
420	20220	3794
421	20253	3743
422	20288	3693
423	20314	3641
424	20343	3589
425	20368	3538
426	20398	3487
427	20420	3435
428	20443	3383
429	20463	3331
430	20487	3279
431	20512	3228
432	20534	3177
433	20556	3126
434	20583	3075
435	20608	3025
436	20630	2974
437	20655	2923
438	20677	2873
439	20700	2822
440	20723	2772
441	20746	2722
442	20772	2672
443	20801	2623
444	20830	2574
445	20860	2525
446	20892	2477
447	20919	2428
448	20945	2379
449	20966	2329
450	20988	2280
451	21009	2231
452	21035	2182
453	21057	2133
454	21083	2085
455	21104	2036
456	21128	1987
457	21149	1939
458	21173	1891
459	21199	1843
460	21226	1795
461	21249	1747
462	21278	1700
463	21307	1653
464	21337	1606
465	21364	1558
466	21391	1511
467	21410	1463
468	21426	1416
469	21439	1368
470	21446	1320
471	21453	1272
472	21460	1225
473	21466	1177
474	21473	1130
475	21479	1083
476	21486	1036
477	21493	989
478	21500	942
479	21507	896
480	21515	849
481	21521	803
482	21528	757
483	21535	711
484	21542	666
485	21549	620
486	21556	575
487	21563	530
488	21568	485
489	21575	440
490	21582	395
491	21588	351
492	21595	306
493	21602	262
494	21609	218
495	21616	174
496	21623	130
497	21629	86
498	21636	43
499	21643	0
554	0
